val_mae,val_loss,epoch,step,train_mae,train_loss,test_mae,test_loss
4.712854862213135,4.701364040374756,0,23,,,,
,,1,23,4.737521648406982,4.737381935119629,,
4.507801532745361,4.497262001037598,1,47,,,,
,,2,47,3.8485729694366455,3.848534345626831,,
4.453934192657471,4.443665981292725,2,71,,,,
,,3,71,3.7833144664764404,3.78328800201416,,
4.434878349304199,4.42456579208374,3,95,,,,
,,4,95,3.7586944103240967,3.7586612701416016,,
4.389163970947266,4.379127502441406,4,119,,,,
,,5,119,3.7460432052612305,3.7460505962371826,,
4.373638153076172,4.363663673400879,5,143,,,,
,,6,143,3.7376255989074707,3.7376558780670166,,
4.377261161804199,4.367239952087402,6,167,,,,
,,7,167,3.72660756111145,3.7266528606414795,,
4.369268417358398,4.359215259552002,7,191,,,,
,,8,191,3.721950054168701,3.7219693660736084,,
4.380250453948975,4.3701863288879395,8,215,,,,
,,9,215,3.720407724380493,3.7204034328460693,,
4.360123157501221,4.350139617919922,9,239,,,,
,,10,239,3.715561866760254,3.715547561645508,,
4.345983982086182,4.336084365844727,10,263,,,,
,,11,263,3.714416980743408,3.7143781185150146,,
4.335295677185059,4.325433254241943,11,287,,,,
,,12,287,3.707327127456665,3.707308769226074,,
4.333170413970947,4.323318958282471,12,311,,,,
,,13,311,3.705122470855713,3.705129861831665,,
4.331357002258301,4.321534633636475,13,335,,,,
,,14,335,3.693419933319092,3.693448781967163,,
4.3469438552856445,4.336911201477051,14,359,,,,
,,15,359,3.697319269180298,3.69728684425354,,
4.345160484313965,4.335139274597168,15,383,,,,
,,16,383,3.6975791454315186,3.6976070404052734,,
4.3377861976623535,4.327789783477783,16,407,,,,
,,17,407,3.689948081970215,3.6899607181549072,,
4.328136920928955,4.318264007568359,17,431,,,,
,,18,431,3.6851844787597656,3.6852200031280518,,
4.327631950378418,4.317728519439697,18,455,,,,
,,19,455,3.6903076171875,3.6903183460235596,,
4.324202060699463,4.314318656921387,19,479,,,,
,,20,479,3.687647819519043,3.6876561641693115,,
4.3504462242126465,4.340324401855469,20,503,,,,
,,21,503,3.683950901031494,3.6839773654937744,,
4.336610317230225,4.32663106918335,21,527,,,,
,,22,527,3.682868480682373,3.6828298568725586,,
