val_mae,val_mape,val_loss,epoch,step,train_mae,train_mape,train_loss,test_mae,test_mape,test_loss
3.7528390884399414,0.48622608184814453,3.729951858520508,0,197,,,,,,
,,,1,197,3.918489694595337,0.6531113982200623,3.919306516647339,,,
3.3329362869262695,0.45858728885650635,3.3144936561584473,1,395,,,,,,
,,,2,395,2.8176965713500977,0.47209274768829346,2.817619562149048,,,
3.24163556098938,0.45747560262680054,3.224604368209839,2,593,,,,,,
,,,3,593,2.7555484771728516,0.46131518483161926,2.75557017326355,,,
3.178481101989746,0.4658694267272949,3.1625277996063232,3,791,,,,,,
,,,4,791,2.736675500869751,0.46013307571411133,2.736623525619507,,,
3.1384811401367188,0.47524726390838623,3.1232922077178955,4,989,,,,,,
,,,5,989,2.723109483718872,0.4588436484336853,2.7230069637298584,,,
3.103278875350952,0.4575808346271515,3.088416337966919,5,1187,,,,,,
,,,6,1187,2.7112605571746826,0.45759859681129456,2.711341381072998,,,
3.0792341232299805,0.4704013466835022,3.0649290084838867,6,1385,,,,,,
,,,7,1385,2.7034850120544434,0.4567399024963379,2.7035298347473145,,,
3.0566043853759766,0.44569623470306396,3.042510747909546,7,1583,,,,,,
,,,8,1583,2.6963350772857666,0.45592233538627625,2.6962902545928955,,,
3.026885747909546,0.45190510153770447,3.0132482051849365,8,1781,,,,,,
,,,9,1781,2.692915439605713,0.45567554235458374,2.6928551197052,,,
3.014301300048828,0.45084089040756226,3.0008435249328613,9,1979,,,,,,
,,,10,1979,2.6900930404663086,0.45561298727989197,2.689971685409546,,,
3.00508189201355,0.46370917558670044,2.991898775100708,10,2177,,,,,,
,,,11,2177,2.683638095855713,0.45481210947036743,2.6835832595825195,,,
2.9944708347320557,0.44967493414878845,2.9813992977142334,11,2375,,,,,,
,,,12,2375,2.680032730102539,0.45501717925071716,2.6799800395965576,,,
2.9833602905273438,0.46628764271736145,2.9705445766448975,12,2573,,,,,,
,,,13,2573,2.678504705429077,0.4543115198612213,2.678516149520874,,,
2.9723165035247803,0.4618929922580719,2.959618330001831,13,2771,,,,,,
,,,14,2771,2.6755523681640625,0.4546396732330322,2.6755104064941406,,,
2.965245246887207,0.4529477059841156,2.9526093006134033,14,2969,,,,,,
,,,15,2969,2.6746277809143066,0.45444831252098083,2.674516439437866,,,
2.962022066116333,0.4522262215614319,2.949455976486206,15,3167,,,,,,
,,,16,3167,2.670592784881592,0.45411252975463867,2.6705880165100098,,,
2.95593523979187,0.4508264362812042,2.9434726238250732,16,3365,,,,,,
,,,17,3365,2.6670823097229004,0.4537051320075989,2.6671135425567627,,,
2.947657823562622,0.45426255464553833,2.9353606700897217,17,3563,,,,,,
,,,18,3563,2.6672873497009277,0.453824907541275,2.667314052581787,,,
2.9489939212799072,0.46409401297569275,2.936749219894409,18,3761,,,,,,
,,,19,3761,2.664668321609497,0.4535973072052002,2.664719820022583,,,
2.953645706176758,0.4486471712589264,2.94128155708313,19,3959,,,,,,
,,,20,3959,2.6624085903167725,0.4530933201313019,2.6624839305877686,,,
2.9347143173217773,0.452754408121109,2.9226183891296387,20,4157,,,,,,
,,,21,4157,2.659507989883423,0.4525652825832367,2.6594502925872803,,,
2.9367053508758545,0.44274941086769104,2.924572467803955,21,4355,,,,,,
,,,22,4355,2.6577775478363037,0.4530039131641388,2.6576576232910156,,,
