val_mae,val_mape,val_loss,epoch,step,train_mae,train_mape,train_loss,test_mae,test_mape,test_loss
7.9972968101501465,1.106231927871704,7.947056293487549,0,194,,,,,,
,,,1,194,6.045107364654541,1.1327365636825562,6.044948101043701,,,
7.996297359466553,1.0504462718963623,7.945531368255615,1,389,,,,,,
,,,2,389,5.903147220611572,1.0462121963500977,5.903266906738281,,,
8.012972831726074,1.1091052293777466,7.962468147277832,2,584,,,,,,
,,,3,584,5.90316915512085,1.043102741241455,5.902873992919922,,,
7.998180866241455,1.1001396179199219,7.947793483734131,3,779,,,,,,
,,,4,779,5.899043560028076,1.0430659055709839,5.898941516876221,,,
7.986939430236816,1.063027262687683,7.936354637145996,4,974,,,,,,
,,,5,974,5.902573585510254,1.04471755027771,5.902410507202148,,,
8.013992309570312,1.1091870069503784,7.963416576385498,5,1169,,,,,,
,,,6,1169,5.892880439758301,1.0426478385925293,5.892753601074219,,,
7.9978861808776855,1.0971263647079468,7.947396755218506,6,1364,,,,,,
,,,7,1364,5.898823261260986,1.0429978370666504,5.899136066436768,,,
7.970821380615234,1.1108297109603882,7.920945644378662,7,1559,,,,,,
,,,8,1559,5.898087501525879,1.041227102279663,5.898044586181641,,,
7.983580589294434,1.0847755670547485,7.933168411254883,8,1754,,,,,,
,,,9,1754,5.892442226409912,1.042047142982483,5.892302513122559,,,
7.965392112731934,1.129438877105713,7.915807723999023,9,1949,,,,,,
,,,10,1949,5.893298625946045,1.0405910015106201,5.893258094787598,,,
7.950183391571045,1.0801860094070435,7.900160789489746,10,2144,,,,,,
,,,11,2144,5.892979621887207,1.042145013809204,5.892906188964844,,,
7.983851909637451,1.0983738899230957,7.933430194854736,11,2339,,,,,,
,,,12,2339,5.884485721588135,1.0415843725204468,5.88433313369751,,,
7.982943534851074,1.1135613918304443,7.932693958282471,12,2534,,,,,,
,,,13,2534,5.888185024261475,1.0410648584365845,5.888387680053711,,,
7.9855241775512695,1.0990478992462158,7.935008525848389,13,2729,,,,,,
,,,14,2729,5.8854899406433105,1.0407017469406128,5.885295867919922,,,
7.949791431427002,1.0838232040405273,7.899661540985107,14,2924,,,,,,
,,,15,2924,5.8851318359375,1.0418543815612793,5.8849382400512695,,,
7.963298320770264,1.053969144821167,7.912682056427002,15,3119,,,,,,
,,,16,3119,5.875425338745117,1.0406237840652466,5.875466346740723,,,
7.996430397033691,1.122581124305725,7.946040630340576,16,3314,,,,,,
,,,17,3314,5.883722305297852,1.0410778522491455,5.88377046585083,,,
7.955356121063232,1.1021164655685425,7.905293941497803,17,3509,,,,,,
,,,18,3509,5.884048938751221,1.041121006011963,5.884126663208008,,,
7.964045524597168,1.0838474035263062,7.91364860534668,18,3704,,,,,,
,,,19,3704,5.883889198303223,1.0430740118026733,5.883457183837891,,,
7.972599029541016,1.103197693824768,7.922285556793213,19,3899,,,,,,
,,,20,3899,5.880189895629883,1.0407098531723022,5.880324363708496,,,
7.969122886657715,1.1156514883041382,7.919028282165527,20,4094,,,,,,
,,,21,4094,5.8804521560668945,1.0410009622573853,5.880415439605713,,,
7.96408748626709,1.1161301136016846,7.91408109664917,21,4289,,,,,,
,,,22,4289,5.8863606452941895,1.0408382415771484,5.886185169219971,,,
7.976611614227295,1.0917283296585083,7.926079273223877,22,4484,,,,,,
,,,23,4484,5.881990909576416,1.0416983366012573,5.881810665130615,,,
7.969341278076172,1.1000653505325317,7.919033050537109,23,4679,,,,,,
,,,24,4679,5.882002830505371,1.0415266752243042,5.881964206695557,,,
7.958643913269043,1.0878244638442993,7.908353805541992,24,4874,,,,,,
,,,25,4874,5.8765950202941895,1.0409340858459473,5.876741409301758,,,
7.955471992492676,1.095169186592102,7.905331134796143,25,5069,,,,,,
,,,26,5069,5.881021976470947,1.0416228771209717,5.881219863891602,,,
7.970108985900879,1.1138017177581787,7.919948577880859,26,5264,,,,,,
,,,27,5264,5.87346076965332,1.0400465726852417,5.873695373535156,,,
7.945745944976807,1.072402834892273,7.895512580871582,27,5459,,,,,,
,,,28,5459,5.8765106201171875,1.0408474206924438,5.876452922821045,,,
7.980420112609863,1.1068254709243774,7.93002462387085,28,5654,,,,,,
,,,29,5654,5.880682468414307,1.0412731170654297,5.880469799041748,,,
7.937044143676758,1.115273356437683,7.887434482574463,29,5849,,,,,,
,,,30,5849,5.872392177581787,1.0409040451049805,5.87205696105957,,,
7.953309059143066,1.0966829061508179,7.903203964233398,30,6044,,,,,,
,,,31,6044,5.876443386077881,1.0406607389450073,5.876348495483398,,,
7.947754383087158,1.0926399230957031,7.897671699523926,31,6239,,,,,,
,,,32,6239,5.879158973693848,1.0402827262878418,5.878907680511475,,,
7.966484546661377,1.0740330219268799,7.915913105010986,32,6434,,,,,,
,,,33,6434,5.875316143035889,1.0412925481796265,5.875219821929932,,,
7.932824611663818,1.0896114110946655,7.882954120635986,33,6629,,,,,,
,,,34,6629,5.872881889343262,1.0393320322036743,5.8728203773498535,,,
7.917558670043945,1.0754485130310059,7.867799282073975,34,6824,,,,,,
,,,35,6824,5.874283313751221,1.0405678749084473,5.874405384063721,,,
7.953187465667725,1.1082426309585571,7.90317964553833,35,7019,,,,,,
,,,36,7019,5.871878147125244,1.0396766662597656,5.872010707855225,,,
7.958354949951172,1.094138503074646,7.908108711242676,36,7214,,,,,,
,,,37,7214,5.87013578414917,1.0406914949417114,5.870009422302246,,,
7.951838970184326,1.1147241592407227,7.901925086975098,37,7409,,,,,,
,,,38,7409,5.878299713134766,1.0408073663711548,5.878200531005859,,,
7.9538798332214355,1.1015862226486206,7.903778076171875,38,7604,,,,,,
,,,39,7604,5.871017932891846,1.0399667024612427,5.87087345123291,,,
7.959066867828369,1.0546650886535645,7.908419609069824,39,7799,,,,,,
,,,40,7799,5.868420124053955,1.041040301322937,5.867945671081543,,,
7.93202543258667,1.101979374885559,7.882231712341309,40,7994,,,,,,
,,,41,7994,5.869903087615967,1.039878010749817,5.869655609130859,,,
7.946305274963379,1.0973141193389893,7.896209716796875,41,8189,,,,,,
,,,42,8189,5.873512268066406,1.0403375625610352,5.87310266494751,,,
7.9562578201293945,1.106318712234497,7.906126022338867,42,8384,,,,,,
,,,43,8384,5.870772838592529,1.0400688648223877,5.870762825012207,,,
7.929964542388916,1.1248372793197632,7.880480766296387,43,8579,,,,,,
,,,44,8579,5.872335910797119,1.0397135019302368,5.872112274169922,,,
7.929524898529053,1.1051967144012451,7.879789352416992,44,8774,,,,,,
,,,45,8774,5.868124008178711,1.0405209064483643,5.867938041687012,,,
7.93623685836792,1.0899983644485474,7.886190891265869,45,8969,,,,,,
,,,46,8969,5.866034984588623,1.0406644344329834,5.865969181060791,,,
7.9374871253967285,1.073381781578064,7.887275695800781,46,9164,,,,,,
,,,47,9164,5.866593837738037,1.0399802923202515,5.866420745849609,,,
7.939652919769287,1.1028095483779907,7.889718532562256,47,9359,,,,,,
,,,48,9359,5.862249374389648,1.0397183895111084,5.861884593963623,,,
7.9291791915893555,1.1000189781188965,7.879385948181152,48,9554,,,,,,
