val_mae,val_loss,epoch,step,train_mae,train_loss,test_mae,test_loss
3.021461248397827,3.0104146003723145,0,1585,,,,
,,1,1585,3.182694435119629,3.1833932399749756,,
2.86885404586792,2.858761787414551,1,3171,,,,
,,2,3171,2.619776964187622,2.6201138496398926,,
2.9373114109039307,2.926636219024658,2,4757,,,,
,,3,4757,2.588700771331787,2.5890228748321533,,
2.861086368560791,2.851013660430908,3,6343,,,,
,,4,6343,2.5776901245117188,2.578005790710449,,
2.846966505050659,2.8369531631469727,4,7929,,,,
,,5,7929,2.573215961456299,2.573415756225586,,
2.8839664459228516,2.873441696166992,5,9515,,,,
,,6,9515,2.570305585861206,2.570392608642578,,
2.8718786239624023,2.861250162124634,6,11101,,,,
,,7,11101,2.569199562072754,2.569394111633301,,
2.85893177986145,2.848794937133789,7,12687,,,,
,,8,12687,2.5645411014556885,2.564804792404175,,
2.8907737731933594,2.8804094791412354,8,14273,,,,
,,9,14273,2.5625767707824707,2.56309175491333,,
2.848738670349121,2.8386309146881104,9,15859,,,,
,,10,15859,2.5624701976776123,2.5627541542053223,,
2.8525285720825195,2.8421740531921387,10,17445,,,,
,,11,17445,2.556248903274536,2.556180477142334,,
2.85880184173584,2.8485584259033203,11,19031,,,,
,,12,19031,2.5540294647216797,2.55426025390625,,
2.8603434562683105,2.850087881088257,12,20617,,,,
,,13,20617,2.551640033721924,2.551828622817993,,
2.857133388519287,2.846874475479126,13,22203,,,,
,,14,22203,2.553201675415039,2.553555488586426,,
2.850770950317383,2.840318202972412,14,23789,,,,
,,15,23789,2.5468826293945312,2.5470693111419678,,
2.8403139114379883,2.830101490020752,15,25375,,,,
,,16,25375,2.5436320304870605,2.5437827110290527,,
2.8354735374450684,2.8252413272857666,16,26961,,,,
,,17,26961,2.540970802307129,2.5412824153900146,,
2.8816802501678467,2.871182918548584,17,28547,,,,
,,18,28547,2.5376834869384766,2.537766933441162,,
2.83327054977417,2.8229284286499023,18,30133,,,,
,,19,30133,2.538433313369751,2.5388121604919434,,
2.911613702774048,2.9006192684173584,19,31719,,,,
,,20,31719,2.5342414379119873,2.534733295440674,,
2.8441386222839355,2.833885431289673,20,33305,,,,
,,21,33305,2.530707597732544,2.531059741973877,,
2.842240810394287,2.831789016723633,21,34891,,,,
,,22,34891,2.528658151626587,2.528792381286621,,
2.8418171405792236,2.8314690589904785,22,36477,,,,
,,23,36477,2.5250699520111084,2.525325298309326,,
2.8367114067077637,2.8263731002807617,23,38063,,,,
,,24,38063,2.522947311401367,2.523155689239502,,
,,24,38717,,,2.577888250350952,2.5674939155578613
