val_mae,val_loss,epoch,step,train_mae,train_loss,test_mae,test_loss
2.900784492492676,2.889982223510742,0,792,,,,
,,1,792,2.9294376373291016,2.9295032024383545,,
2.9359445571899414,2.9248034954071045,1,1585,,,,
,,2,1585,2.6161720752716064,2.616358995437622,,
2.8887712955474854,2.8778653144836426,2,2378,,,,
,,3,2378,2.595252752304077,2.5952370166778564,,
2.890756368637085,2.8796966075897217,3,3171,,,,
,,4,3171,2.5843570232391357,2.5844011306762695,,
2.884899377822876,2.8737030029296875,4,3964,,,,
,,5,3964,2.5804858207702637,2.5805108547210693,,
2.8695552349090576,2.858624219894409,5,4757,,,,
,,6,4757,2.5771899223327637,2.5772838592529297,,
2.922873020172119,2.910982370376587,6,5550,,,,
,,7,5550,2.5734364986419678,2.573455333709717,,
2.8888375759124756,2.8774895668029785,7,6343,,,,
,,8,6343,2.569793224334717,2.5700173377990723,,
2.8452231884002686,2.8344063758850098,8,7136,,,,
,,9,7136,2.572648286819458,2.572476863861084,,
2.8673317432403564,2.8564131259918213,9,7929,,,,
,,10,7929,2.5687856674194336,2.568979024887085,,
2.8478550910949707,2.8369317054748535,10,8722,,,,
,,11,8722,2.5629546642303467,2.563063144683838,,
2.865063428878784,2.854088544845581,11,9515,,,,
,,12,9515,2.563598394393921,2.5634846687316895,,
2.8469321727752686,2.836089849472046,12,10308,,,,
,,13,10308,2.566103458404541,2.565912961959839,,
2.866021156311035,2.854971408843994,13,11101,,,,
,,14,11101,2.5647215843200684,2.56502628326416,,
2.853247880935669,2.842351198196411,14,11894,,,,
,,15,11894,2.5646109580993652,2.5646374225616455,,
2.9032559394836426,2.8918232917785645,15,12687,,,,
,,16,12687,2.56221604347229,2.5623090267181396,,
2.862241268157959,2.8512892723083496,16,13480,,,,
,,17,13480,2.5586142539978027,2.559229612350464,,
2.8623106479644775,2.8513050079345703,17,14273,,,,
,,18,14273,2.5609774589538574,2.561152219772339,,
2.854135274887085,2.8432044982910156,18,15066,,,,
,,19,15066,2.5548300743103027,2.5552005767822266,,
2.8552424907684326,2.844259738922119,19,15859,,,,
,,20,15859,2.555187225341797,2.5552237033843994,,
2.9080817699432373,2.8969054222106934,20,16652,,,,
,,21,16652,2.558204174041748,2.558194637298584,,
2.940988063812256,2.929158926010132,21,17445,,,,
,,22,17445,2.550809383392334,2.550654172897339,,
2.8799304962158203,2.868779182434082,22,18238,,,,
,,23,18238,2.550461530685425,2.5505356788635254,,
2.875606060028076,2.8643760681152344,23,19031,,,,
,,24,19031,2.545567035675049,2.5455141067504883,,
2.9031996726989746,2.891580820083618,24,19824,,,,
,,25,19824,2.5468366146087646,2.5469608306884766,,
2.8747222423553467,2.8634514808654785,25,20617,,,,
,,26,20617,2.5474305152893066,2.547598123550415,,
2.8425025939941406,2.8316028118133545,26,21410,,,,
,,27,21410,2.544879674911499,2.544872760772705,,
2.8354063034057617,2.8245558738708496,27,22203,,,,
,,28,22203,2.543438673019409,2.5434937477111816,,
2.831937074661255,2.821087121963501,28,22996,,,,
,,29,22996,2.53952693939209,2.539560317993164,,
2.899481773376465,2.888045072555542,29,23789,,,,
,,30,23789,2.539228677749634,2.5393614768981934,,
2.864323377609253,2.853040933609009,30,24582,,,,
,,31,24582,2.535067558288574,2.535177707672119,,
2.8338418006896973,2.822824478149414,31,25375,,,,
,,32,25375,2.5370335578918457,2.5373339653015137,,
2.845989465713501,2.8349602222442627,32,26168,,,,
,,33,26168,2.5345802307128906,2.5347280502319336,,
2.825362205505371,2.8144373893737793,33,26961,,,,
,,34,26961,2.5351169109344482,2.5350804328918457,,
2.8436923027038574,2.8325953483581543,34,27754,,,,
,,35,27754,2.5319013595581055,2.5318806171417236,,
2.8456473350524902,2.83454966545105,35,28547,,,,
,,36,28547,2.534836530685425,2.534886360168457,,
2.83866548538208,2.8276994228363037,36,29340,,,,
,,37,29340,2.5331075191497803,2.5330710411071777,,
2.824552059173584,2.8137505054473877,37,30133,,,,
,,38,30133,2.5334360599517822,2.533552408218384,,
2.8199524879455566,2.8090922832489014,38,30926,,,,
,,39,30926,2.530609607696533,2.5307228565216064,,
2.829939126968384,2.8190085887908936,39,31719,,,,
,,40,31719,2.525437116622925,2.525542736053467,,
2.851263999938965,2.8400704860687256,40,32512,,,,
,,41,32512,2.5289647579193115,2.528920888900757,,
2.863295078277588,2.85194993019104,41,33305,,,,
,,42,33305,2.5298614501953125,2.5300474166870117,,
2.8397302627563477,2.828585624694824,42,34098,,,,
,,43,34098,2.5244579315185547,2.5244057178497314,,
2.862344980239868,2.851052761077881,43,34891,,,,
,,44,34891,2.550755739212036,2.55104398727417,,
2.8378663063049316,2.8268847465515137,44,35684,,,,
,,45,35684,2.5286202430725098,2.528503656387329,,
2.83455753326416,2.8236045837402344,45,36477,,,,
,,46,36477,2.527470588684082,2.5274925231933594,,
2.8358867168426514,2.8249166011810303,46,37270,,,,
,,47,37270,2.5276191234588623,2.527742624282837,,
2.829868793487549,2.818897247314453,47,38063,,,,
,,48,38063,2.524585485458374,2.524479389190674,,
2.8361029624938965,2.8250625133514404,48,38856,,,,
,,49,38856,2.528947114944458,2.5289700031280518,,
2.838374137878418,2.8274104595184326,49,39649,,,,
,,50,39649,2.520063877105713,2.520315647125244,,
2.830820322036743,2.819873332977295,50,40442,,,,
,,51,40442,2.5229153633117676,2.523238182067871,,
,,51,41066,,,2.570060968399048,2.5595805644989014
